Concept_Name,TermType,Template_ID,LOINC_Code,LOINC_Code2,Excluded,Compound,Notes
Encounters,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
Endocrine System Endocrine,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
End-organ Damage,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
ENMT ENT,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
ENT Office Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
ENT Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
ENT Procedures Performed,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Enter from LMR Problem List (see left),Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Entrance Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Environment,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Environmental allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
ENVIRONMENTAL FACTORS,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Environmental History,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
EPDS,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,?psychatric evaluations
Erectile Function,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,?
ESR,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Established Problem 1,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,?
Established Problem 2,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,?
Established Problem 3,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,?
Estheticians Record,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
ETOH or Drug Use,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Evaluation and Management of significant Medical issues/problems prior to surgery,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Evening Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,?
exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Exam Review of Systems,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,Y,NULL
examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
examination type,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Exercise,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Exercise/Activity,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Experiencing any sexual problems?,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Explained possible test results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
EXTENDED FAMILY HISTORY,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Extra Points,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,?
Extremity examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Eye Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Eye Glasses,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Eye Visit,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
F/U Issues,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
F/U Methods,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Facial and Oral Movements,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Fagerstrom / Dependence,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Fall Risk Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Fall/Jump,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Falls Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Fam,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Fam / Soc Hx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Fam Hx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Fam/Soc Hx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
FamHx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
FamHx (per the patient),Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family / Social History,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family and Social history,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family Contact Information,Emergency contact information,NULL,56796-6?,NULL,N,NULL,NULL
Family History,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History - Conditions in family members,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History (Blood Relationships Only),Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History (psychiatric and relevant medical),Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History / Social,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History / Social History,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History Of,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of ?Cancer,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of Anesthetic Problems,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of Breast Cancer,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of CHD?,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family history of depression,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family history of diabetes?,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of Kidney Cancer,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of Mental Illness and Substance Abuse,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of Obesity,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family history of prostate ?cancer,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History of Skin Cancer,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family history of stones,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History Review,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History Risk Factors,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family History/Social,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,Y,NULL
Family history/social history,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family Hx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family Hx per records,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family Medical History,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
family planning visit,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,?
family psychiatric history,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family/Social history,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family/Social Hx/Meds/Allergies,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Family/Social Hx/Meds/Allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Fatigue/sleeping problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Female or sexual problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Female Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
FH,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
FHx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
FHx/SHx,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Films & Findings,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
final diagnosis,Postprocedure Diagnosis Section,2.16.840.1.113883.10.20.22.2.36,59769-0,NULL,N,NULL,NULL
Final Path Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
findings,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Findings (axilla),Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Findings Visual/Palpable/Test Results,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Findings Visual/Palpable/Test Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Findings/Notes,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
Findings/Pathology,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
FindingsVisual/Palpable/Test Results,Findings Section,2.16.840.1.113883.10.20.6.1.2,18782-3,NULL,N,NULL,NULL
FindingsVisual/Palpable/Test Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Fingerstick glucose result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
First Problem Diagnosis,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
FISH Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
FOB Medications/exposures,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
FOB Medications/exposures comment,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Focused Skin Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Follow these important instructions below,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,Added for re-admission project on 4/09/2015
Follow Up,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Follow up Appointments,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
Follow up visit,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Follow-up,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Follow-up of Surgery,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Follow-up Scheduled,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Follow-up Visit,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Food Allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
"Food Allergies (Infant, Adolescent, Adult)",Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Food Allergies/Intolerances,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Formulary medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
"Formulation and Risk Assessment (risk behavior includes suicidality and any other significant injurious behavior eg substance misuse, self-mutilation, self-starving, frequent bingeing, failure in work/relationships)",Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
FU Surgery,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Full skin Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Functional Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Functional Gait Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Functional Hx,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Functional Problem List,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Functional Status,General Status Section,2.16.840.1.113883.10.20.2.5,10210-3,NULL,N,NULL,NULL
Fungus culture,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
Further Evaluation,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Gait Deviations,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Gastrointestinal examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Gastrointestinal Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Gastrointestinal Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
General Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
General examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
General Info for Teens,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,?
General Knowledge,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,?
General Overall Health,General Status Section,2.16.840.1.113883.10.20.2.5,10210-3,NULL,N,NULL,NULL
General Overall Health State,General Status Section,2.16.840.1.113883.10.20.2.5,10210-3,NULL,N,NULL,NULL
General Physical,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
General Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
General Status Section,General Status Section,2.16.840.1.113883.10.20.2.5,10210-3,NULL,N,NULL,NULL
Genetics,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Genitourinary,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
Genitourinary examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Get Up and Go Test,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
GI / Menses,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
GI Family History,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
GI GLU ,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
GI indications/reasons for consult/procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
GI Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Glasgow Coma Score,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Global Judgements,General Status Section,2.16.840.1.113883.10.20.2.5,10210-3,NULL,N,NULL,NULL
Glycemic Symptoms,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
Goals,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Goals and Objectives,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Goals and Objectives (measurable concrete achievable goals),Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Goals/Expected Outcomes,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Gross Strength/ROM Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Group Therapy Details,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Growth and Development,History of Past Illness Section,2.16.840.1.113883.10.20.22.2.20,11348-0,NULL,N,NULL,NULL
GU - Female,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Gyn,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
GYN Examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
GYN Screening,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
Gynecologic History,History of Past Illness Section,2.16.840.1.113883.10.20.22.2.20,11348-0,NULL,N,NULL,NULL
Gynecologic Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Gynecology Flow Record,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Habits,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Hand - Physical/Occupational,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Handouts:,Addendum,N/A,55107-7,NULL,N,NULL,NULL
"Has the patient had any blood work, x-rays, or other types of procedures done?",Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Has the patient had mental health problems in the past,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Have you been tested for allergies?,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
HCG,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Health History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Health Maintenance,Immunizations,2.16.840.1.113883.10.20.22.2.2,11369-6,NULL,N,NULL,NULL
Health Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Health Risk Assessment Updated,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Hearing problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,?
Heart problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
HEENT examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Hematologic ?Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Hemophilia/Hereditary Blood Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Hep C Tx,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
her family history,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
High risk based on one or more of the following documented complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
his family history,Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,Y,NULL,NULL
History and Physical,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,29545-1,N,Y,NULL
HISTORY HISTORY,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
History of Breast Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
History of Current Problem,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
History of Past Illness Section,History of Past Illness Section,2.16.840.1.113883.10.20.22.2.20,11348-0,NULL,N,NULL,NULL
history of present illness,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness (current symptoms),History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness (including onset/duration),History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness (location/quality/timing/severityduration/associated symptoms/moderating factors/context),History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness (Subjective Data),History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness / Chief Complaint,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness and Precipitating Events,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illness/Chief Complaint,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,10154-3,N,Y,NULL
history of present illness/hospital course report history of present illness/hospital course,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History of Present Illnesses,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History present illness,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
History significant for papsmear results showing,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,?
History Substances,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
History/Chief Complaint,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,10154-3,N,Y,NULL
Hobbies Home Care Plan,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,?
Home Environment,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Home Glucose Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Home Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Home Meds,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Hormone Replacement Therapy,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Hospital Admission Diagnosis Section,Hospital Admission Diagnosis Section,2.16.840.1.113883.10.20.22.4.34,46241-6,NULL,N,NULL,NULL
Hospital Admissions for Respiratory Problem,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
HOSPITAL CARE TEAM,Attending Physician Name,NULL,NULL,NULL,N,NULL,NULL
Hospital Consultations,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
hospital course,Hospital Course Section,1.3.6.1.4.1.19376.1.5.3.1.3.5,8648-8,NULL,N,NULL,NULL
Hospital Discharge Diagnosis Section,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
Hospital Discharge Instructions,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Hospital Discharge Medication Section,Hospital Discharge Medication Section,2.16.840.1.113883.10.20.22.2.11,10183-2,NULL,N,NULL,NULL
Hospital Discharge Physical,Hospital Discharge Physical,1.3.6.1.4.1.19376.1.5.3.1.3.26,10184-0,NULL,N,NULL,NULL
Hospital Discharge Studies Summary,Hospital Discharge Studies Summary,2.16.840.1.113883.10.20.22.2.16,11493-4,NULL,N,NULL,NULL
HOSPITALIZATION SUMMARY,Hospital Course Section,1.3.6.1.4.1.19376.1.5.3.1.3.5,8648-8,NULL,N,NULL,NULL
Hospitalizations,General Status Section,2.16.840.1.113883.10.20.2.5,10210-3,NULL,N,NULL,NULL
HPI,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI - History of Present Illness,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI - Knee / Pain,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI Elements,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI with Qualifiers,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/Carotid,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/CC,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/Cold Feet,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/Dyspnea,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/Headache,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/Leg Ulcer,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/Palpitations,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPI/ROS/Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,10164-2,N,Y,NULL
HPI/Wheezing / Asthma,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
HPV Test Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
