nlp_Problem_Term,PPL_Id,Snomed_Concept_Id,Snomed_Preferred_Term,UMLS_CUI,Snomed_Description_Id,Snomed_Description,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,STY,Excluded,ProblemCategory,Source
mild major depression,NULL,87512008,Mild major depression,C0270455,145089017,Mild major depression,1,296.31,Major depressive affective disorder recurrent episode mild degree,F33.0,"Major depressive disorder, recurrent, mild",Mental or Behavioral Dysfunction,N,depression_diagnosis,Readmission
"Mild major depression, single episode",NULL,79298009,"Mild major depression, single episode",C0154403,131561018,"Mild major depression, single episode",1,296.21,Depress psychosis-mild,F32.0,"Major depressive disorder, single episode, mild",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mild manic bipolar,NULL,71984005,Mild manic bipolar I disorder,C0236767,119622011,Mild manic bipolar disorder,2,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar condition,NULL,71984005,Mild manic bipolar I disorder,C0236767,119622011,Mild manic bipolar disorder,2,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar disease,NULL,71984005,Mild manic bipolar I disorder,C0236767,119622011,Mild manic bipolar disorder,2,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar disorder,NULL,71984005,Mild manic bipolar I disorder,C0236767,119622011,Mild manic bipolar disorder,2,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar I,NULL,71984005,Mild manic bipolar I disorder,C0236767,119620015,Mild manic bipolar I disorder,1,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar I condition,NULL,71984005,Mild manic bipolar I disorder,C0236767,119620015,Mild manic bipolar I disorder,1,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar I disease,NULL,71984005,Mild manic bipolar I disorder,C0236767,119620015,Mild manic bipolar I disorder,1,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar I disorder,NULL,71984005,Mild manic bipolar I disorder,C0236767,119620015,Mild manic bipolar I disorder,1,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mild manic bipolar I syndrome,NULL,71984005,Mild manic bipolar I disorder,C0236767,119620015,Mild manic bipolar I disorder,1,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild manic bipolar syndrome,NULL,71984005,Mild manic bipolar I disorder,C0236767,119622011,Mild manic bipolar disorder,2,296.41,Bipol I curnt manic-mild,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild memory disturbance,NULL,192071009,Mild memory disturbance,C0423927,295525018,Mild memory disturbance,1,780.9,Generalizd hyperhidrosis,R41.3,Other amnesia,Mental or Behavioral Dysfunction,N,NULL,Subset
Mild mental handicap,NULL,86765009,Mild mental retardation (I.Q. 50-70),C0026106,507245017,Mild mental handicap,2,317,Mild intellectual disabilities,F70,Mild intellectual disabilities,Mental or Behavioral Dysfunction,N,NULL,MTERMS
"Mild mental retardation, IQ in range 50-70",NULL,86765009,Mild mental retardation (I.Q. 50-70),C0026106,507246016,"Mild mental retardation, IQ in range 50-70",2,317,Mild intellectual disabilities,F70,Mild intellectual disabilities,Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72991014,Mild mixed bipolar disorder,2,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar condition,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72991014,Mild mixed bipolar disorder,2,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar disease,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72991014,Mild mixed bipolar disorder,2,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar disorder,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72991014,Mild mixed bipolar disorder,2,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar I,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72989018,Mild mixed bipolar I disorder,1,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar I condition,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72989018,Mild mixed bipolar I disorder,1,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar I disease,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72989018,Mild mixed bipolar I disorder,1,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar I disorder,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72989018,Mild mixed bipolar I disorder,1,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mild mixed bipolar I syndrome,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72989018,Mild mixed bipolar I disorder,1,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild mixed bipolar syndrome,NULL,43769008,Mild mixed bipolar I disorder,C0236781,72991014,Mild mixed bipolar disorder,2,296.61,Bipol I currnt mix-mild,F31.61,"Bipolar disorder, current episode mixed, mild",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mild non proliferative diabetic retinopathy,NULL,312903003,Mild non-proliferative diabetic retinopathy,C0730276,456703010,Mild non proliferative diabetic retinopathy,2,362.04,Mild nonproliferative diabetic retinopathy,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Disease or Syndrome,N,NULL,MTERMS
Mild non proliferative retinopathy,NULL,312903003,Mild non-proliferative diabetic retinopathy,C0730276,2646865019,Mild non proliferative retinopathy,2,362.04,Mild nonproliferative diabetic retinopathy,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Disease or Syndrome,N,NULL,MTERMS
Mild nonproliferative diabetic retinopathy,NULL,312903003,Mild non-proliferative diabetic retinopathy,C0730276,2921114017,Mild nonproliferative diabetic retinopathy,2,362.04,Mild nonproliferative diabetic retinopathy,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Disease or Syndrome,N,NULL,MTERMS
Mild non-proliferative diabetic retinopathy,NULL,312903003,Mild non-proliferative diabetic retinopathy,C0730276,2642672017,Mild non-proliferative diabetic retinopathy,1,362.04,Mild nonproliferative diabetic retinopathy,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Disease or Syndrome,N,NULL,PEPrL and Subset
Mild nonproliferative retinopathy,NULL,312903003,Mild non-proliferative diabetic retinopathy,C0730276,1785151013,Mild nonproliferative retinopathy,2,362.04,Mild nonproliferative diabetic retinopathy,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Disease or Syndrome,N,NULL,MTERMS
Mild obstructive pulmonary,NULL,313296004,Mild chronic obstructive pulmonary disease,C0730604,457168017,Mild chronic obstructive pulmonary disease,1,496,"Chronic airway obstruction, not elsewhere classified",J44.9,"Chronic obstructive pulmonary disease, unspecified",Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Mild obstructive pulmonary disease,NULL,313296004,Mild chronic obstructive pulmonary disease,C0730604,457168017,Mild chronic obstructive pulmonary disease,1,496,"Chronic airway obstruction, not elsewhere classified",J44.9,"Chronic obstructive pulmonary disease, unspecified",Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Mild persistent asthma,NULL,426979002,Mild persistent asthma,C1960046,2674138019,Mild persistent asthma,1,493.02,Ext asthma w(acute) exac,J45.31,Mild persistent asthma with (acute) exacerbation,Disease or Syndrome,N,Asthma,PEPrL and Subset
Mild pre-eclampsia,NULL,41114007,Mild pre-eclampsia,C0269658,68583017,Mild pre-eclampsia,1,642.4,Mild pre-eclampsia,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester",Pathologic Function,N,NULL,PEPrL and Subset
Mild pre-eclamptic toxaemia,NULL,41114007,Mild pre-eclampsia,C0269658,492886015,Mild pre-eclamptic toxaemia,2,642.4,Mild pre-eclampsia,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester",Pathologic Function,N,NULL,MTERMS
Mild pre-eclamptic toxemia,NULL,41114007,Mild pre-eclampsia,C0269658,68584011,Mild pre-eclamptic toxemia,2,642.4,Mild pre-eclampsia,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester",Pathologic Function,N,NULL,MTERMS
Mild proteinuric hypertension of pregnancy,NULL,41114007,Mild pre-eclampsia,C0269658,1229720018,Mild proteinuric hypertension of pregnancy,2,642.4,Mild pre-eclampsia,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester",Pathologic Function,N,Hypertension,MTERMS
Mild recurrent major depression,NULL,40379007,Mild recurrent major depression,C0154410,67318015,Mild recurrent major depression,1,296.31,"Major depressive affective disorder, recurrent episode, mild",F33.0,"Major depressive disorder, recurrent, mild",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Milial cyst,NULL,254683001,Milial cyst,C0345996,379290015,Milial cyst,1,706.2,Sebaceous cyst,L72.0,Epidermal cyst,Disease or Syndrome,N,NULL,PEPrL and Subset
Miliaria rubra,1300,72658003,Prickly heat,C0162423,120689010,Miliaria rubra,2,705.1,Prickly heat,L74.0,Miliaria rubra,Disease or Syndrome,N,NULL,MTERMS
Miliaria tropicalis,1300,72658003,Prickly heat,C0162423,120690018,Miliaria tropicalis,2,705.1,Prickly heat,L74.0,Miliaria rubra,Disease or Syndrome,N,NULL,MTERMS
Miliary lupoid of Boeck,379,31541009,Sarcoidosis,C0036202,52732010,Miliary lupoid of Boeck,2,135,Sarcoidosis,D86.9,"Sarcoidosis, unspecified",Disease or Syndrome,N,NULL,MTERMS
Miliary tuberculosis,NULL,47604008,Miliary tuberculosis,C0041321,79348014,Miliary tuberculosis,1,18.9,"Miliary tuberculosis, unspecified, unspecified",A19.9,"Miliary tuberculosis, unspecified",Disease or Syndrome,N,Tuberculosis,Subset
Milk from non-pregnant breast,155,78622004,Galactorrhea not associated with childbirth,C0235660,503876016,Milk from non-pregnant breast,2,611.6,Galactorrhea not associated with childbirth,N64.3,Galactorrhea not associated with childbirth,Disease or Syndrome,N,NULL,MTERMS
Milwaukee shoulder,NULL,27741009,Calcific tendinitis of shoulder,C0158303,2536079014,Milwaukee shoulder,2,726.11,Calcifying tendinitis of shoulder,M75.30,Calcific tendinitis of unspecified shoulder,Disease or Syndrome,N,NULL,MTERMS
Miners' elbow,NULL,425940002,Olecranon bursitis,C0263962,2674828010,Miners' elbow,2,726.33,Olecranon bursitis,M70.20,"Olecranon bursitis, unspecified elbow",Disease or Syndrome,N,NULL,MTERMS
Minimal brain dysfunction,1234,406506008,Attention deficit hyperactivity disorder,C1263846,2163263011,Minimal brain dysfunction,2,314.9,Hyperkinetic synd NOS,F90.9,"Attention-deficit hyperactivity disorder, unspecified type",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Minimal change disease,NULL,44785005,Minimal change disease,C0027721,74718011,Minimal change disease,1,583.89,Nephritis NEC,N05.0,Unspecified nephritic syndrome with minor glomerular abnormality,Disease or Syndrome,N,NULL,PEPrL
Minimal cognitive impairment,NULL,110352000,Minimal cognitive impairment,C1291708,175146011,Minimal cognitive impairment,1,799.59,Cognition sign/sympt NEC,R41.89,Other symptoms and signs involving cognitive functions and awareness,Finding,N,NULL,PEPrL
Minimal fetal heart rate variability,NULL,427693000,Minimal fetal heart rate variability,C1959931,2673945010,Minimal fetal heart rate variability,1,NULL,NULL,NULL,NULL,Finding,N,NULL,PEPrL
minor depressive disorder,NULL,48589009,Minor depressive disorder,C0520675,80967017,Minor depressive disorder,1,NULL,NULL,NULL,NULL,Mental or Behavioral Dysfunction,N,depression_diagnosis,Readmission
MIs,273,22298006,Myocardial infarction,C0027051,NULL,NULL,NULL,410.91,"Acute myocardial infarction of unspecified site, initial episode of care",I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,Disease or Syndrome,N,Myocardial Infarction,MTERMS
Misadventure of surgical,NULL,88797001,Complication of surgical procedure,C0274311,147237016,Misadventure of surgical procedure,2,998.9,"Unspecified complication of procedure, not elsewhere classified",T81.9XX?,"Unspecified complication of procedure, episode of care unspecified",Pathologic Function,N,NULL,MTERMS
Misadventure of surgical procedure,NULL,88797001,Complication of surgical procedure,C0274311,147237016,Misadventure of surgical procedure,2,998.9,"Unspecified complication of procedure, not elsewhere classified",T81.9XX?,"Unspecified complication of procedure, episode of care unspecified",Pathologic Function,N,NULL,MTERMS
Miscarriage,NULL,17369002,Miscarriage,C0000786,29370010,Miscarriage,1,634.9,Spon abort uncompl-unsp,O03.9,Complete or unsp spontaneous abortion without complication,Pathologic Function,N,NULL,PEPrL and Subset
Miserable,NULL,41006004,Depression,C0344315,2164010018,Miserable,2,293.83,Mood disorder other dis,F06.30,"Mood disorder due to known physiological condition, unsp",Finding,N,depression_symptom,MTERMS
Missed abortion,1279,16607004,Missed miscarriage,C0000814,28094011,Missed abortion,2,632,Missed abortion,O02.1,Missed abortion,Disease or Syndrome,N,NULL,Subset
Missed miscarriage,1279,16607004,Missed miscarriage,C0000814,1221382012,Missed miscarriage,1,632,Missed abortion,O02.1,Missed abortion,Disease or Syndrome,N,NULL,PEPrL
Missing tooth - acquired,NULL,37320007,Acquired absence of teeth,C0080233,486691016,Missing tooth - acquired,2,525.1,Acq absence of teeth NOS,K08.109,"Complete loss of teeth, unspecified cause, unspecified class",Acquired Abnormality,N,NULL,MTERMS
Mist over eyes,NULL,246636008,Hazy vision,C0344232,368424013,Mist over eyes,2,368.8,Other specified visual disturbances,H53.8,Other visual disturbances,Sign or Symptom,N,NULL,MTERMS
Misty vision,NULL,246636008,Hazy vision,C0344232,368426010,Misty vision,2,368.8,Other specified visual disturbances,H53.8,Other visual disturbances,Sign or Symptom,N,NULL,MTERMS
Mitochondrial cytopathy,NULL,240096000,Mitochondrial cytopathy,C2931928,359707011,Mitochondrial cytopathy,1,359.89,Other myopathies,G71.3,"Mitochondrial myopathy, not elsewhere classified",Disease or Syndrome,N,NULL,PEPrL
Mitochondrial myopathy,NULL,16851005,Mitochondrial myopathy,C0162670,28528010,Mitochondrial myopathy,1,359.89,Other myopathies,G71.3,"Mitochondrial myopathy, not elsewhere classified",Disease or Syndrome,N,NULL,PEPrL and Subset
Mitral and aortic incompetence,NULL,194736003,Mitral and aortic incompetence,C0264774,299610017,Mitral and aortic incompetence,1,396.3,Mitral valve insufficiency and aortic valve insufficiency,I08.0,Rheumatic disorders of both mitral and aortic valves,Disease or Syndrome,N,NULL,Subset
Mitral and aortic insufficiency,NULL,194736003,Mitral and aortic incompetence,C0264774,299611018,Mitral and aortic insufficiency,2,396.3,Mitral valve insufficiency and aortic valve insufficiency,I08.0,Rheumatic disorders of both mitral and aortic valves,Disease or Syndrome,N,NULL,MTERMS
Mitral and aortic regurgitation,NULL,194736003,Mitral and aortic incompetence,C0264774,299612013,Mitral and aortic regurgitation,2,396.3,Mitral valve insufficiency and aortic valve insufficiency,I08.0,Rheumatic disorders of both mitral and aortic valves,Disease or Syndrome,N,NULL,MTERMS
Mitral incompetence - rheumatic,NULL,31085000,Rheumatic mitral regurgitation,C0155563,1227426018,Mitral incompetence - rheumatic,2,394.1,Rheumatic mitral insufficiency,I05.1,Rheumatic mitral insufficiency,Disease or Syndrome,N,NULL,MTERMS
"Mitral incompetence, non-rheumatic",NULL,194978002,Non-rheumatic mitral regurgitation,C0340362,299980014,"Mitral incompetence, non-rheumatic",2,424,Mitral valve disorder,I34.2,Nonrheumatic mitral (valve) stenosis,Disease or Syndrome,N,NULL,MTERMS
Mitral insufficiency,825,48724000,Mitral valve regurgitation,C0026266,1230641019,Mitral insufficiency,2,424,Mitral valve disorder,I34.0,Nonrheumatic mitral (valve) insufficiency,Disease or Syndrome,N,NULL,MTERMS
Mitral regurgitation,825,48724000,Mitral valve regurgitation,C0026266,81193017,Mitral regurgitation,2,424,Mitral valve disorder,I34.0,Nonrheumatic mitral (valve) insufficiency,Disease or Syndrome,N,NULL,MTERMS
mitral stenosis,561,79619009,Mitral valve stenosis,C0026269,1234383014,Mitral stenosis,2,394,Mitral stenosis,I05.0,Rheumatic mitral stenosis,Disease or Syndrome,N,NULL,MTERMS
Mitral valve condition,NULL,11851006,Mitral valve disorder,C0026265,20449013,Mitral valve disorder,1,424,Mitral valve disorders,I05.9,"Rheumatic mitral valve disease, unspecified",Disease or Syndrome,N,NULL,MTERMS
Mitral valve disease,NULL,11851006,Mitral valve disorder,C0026265,444757013,Mitral valve disease,2,424,Mitral valve disorders,I05.9,"Rheumatic mitral valve disease, unspecified",Disease or Syndrome,N,NULL,MTERMS
Mitral valve disorder,NULL,11851006,Mitral valve disorder,C0026265,20449013,Mitral valve disorder,1,424,Mitral valve disorders,I05.9,"Rheumatic mitral valve disease, unspecified",Disease or Syndrome,N,NULL,PEPrL and Subset
Mitral valve incompetence,825,48724000,Mitral valve regurgitation,C0026266,81191015,Mitral valve incompetence,2,424,Mitral valve disorder,I34.0,Nonrheumatic mitral (valve) insufficiency,Disease or Syndrome,N,NULL,MTERMS
mitral valve insufficiency,825,48724000,Mitral valve regurgitation,C0026266,81192010,Mitral valve insufficiency,2,424,Mitral valve disorders,I34.0,Nonrheumatic mitral (valve) insufficiency,Disease or Syndrome,N,NULL,MTERMS
Mitral valve prolapse,263,409712001,Mitral valve prolapse,C0026267,2471474013,Mitral valve prolapse,1,424,Mitral valve disorder,I34.1,Nonrheumatic mitral (valve) prolapse,Disease or Syndrome,N,NULL,PEPrL and Subset
Mitral valve regurgitation,825,48724000,Mitral valve regurgitation,C0026266,81186016,Mitral valve regurgitation,1,424,Mitral valve disorder,I34.0,Nonrheumatic mitral (valve) insufficiency,Disease or Syndrome,N,NULL,PEPrL and Subset
Mitral valve stenosis,561,79619009,Mitral valve stenosis,C0026269,132091016,Mitral valve stenosis,1,394,Mitral stenosis,I05.0,Rheumatic mitral stenosis,Disease or Syndrome,N,NULL,PEPrL and Subset
Mitral valve syndrome,NULL,11851006,Mitral valve disorder,C0026265,20449013,Mitral valve disorder,1,424,Mitral valve disorders,I05.9,"Rheumatic mitral valve disease, unspecified",Disease or Syndrome,N,NULL,MTERMS
Mixed anxiety and depressive condition,NULL,231504006,Mixed anxiety and depressive disorder,C0338908,346979010,Mixed anxiety and depressive disorder,1,300.09,Anxiety state NEC,F41.8,Other specified anxiety disorders,Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed anxiety and depressive disease,NULL,231504006,Mixed anxiety and depressive disorder,C0338908,346979010,Mixed anxiety and depressive disorder,1,300.09,Anxiety state NEC,F41.8,Other specified anxiety disorders,Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed anxiety and depressive disorder,NULL,231504006,Mixed anxiety and depressive disorder,C0338908,346979010,Mixed anxiety and depressive disorder,1,300.09,Anxiety state NEC,F41.8,Other specified anxiety disorders,Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mixed anxiety and depressive syndrome,NULL,231504006,Mixed anxiety and depressive disorder,C0338908,346979010,Mixed anxiety and depressive disorder,1,300.09,Anxiety state NEC,F41.8,Other specified anxiety disorders,Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar,NULL,16506000,Mixed bipolar I disorder,C0236780,27932012,"Mixed bipolar disorder, NOS",2,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar affective condition,NULL,191636007,Mixed bipolar affective disorder,C2937260,294869012,Mixed bipolar affective disorder,1,296.6,Bipol I currnt mixed NOS,F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar affective disease,NULL,191636007,Mixed bipolar affective disorder,C2937260,294869012,Mixed bipolar affective disorder,1,296.6,Bipol I currnt mixed NOS,F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar affective disorder,NULL,191636007,Mixed bipolar affective disorder,C2937260,294869012,Mixed bipolar affective disorder,1,296.6,Bipol I currnt mixed NOS,F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,Subset
Mixed bipolar affective syndrome,NULL,191636007,Mixed bipolar affective disorder,C2937260,294869012,Mixed bipolar affective disorder,1,296.6,Bipol I currnt mixed NOS,F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar condition,NULL,16506000,Mixed bipolar I disorder,C0236780,27932012,"Mixed bipolar disorder, NOS",2,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar disease,NULL,16506000,Mixed bipolar I disorder,C0236780,27932012,"Mixed bipolar disorder, NOS",2,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar disorder,NULL,16506000,Mixed bipolar I disorder,C0236780,27932012,"Mixed bipolar disorder, NOS",2,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar disorder in full remission,NULL,111485001,Mixed bipolar I disorder in full remission,C0236786,189582013,Mixed bipolar disorder in full remission,2,296.66,Bipol I cur mixed remiss,F31.78,"Bipolar disorder, in full remission, most recent episode mixed",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar disorder in partial remission,NULL,36583000,Mixed bipolar I disorder in partial remission,C0236785,61060015,Mixed bipolar disorder in partial remission,2,296.65,Bipol I cur mix-part rem,F31.77,"Bipolar disorder, in partial remission, most recent episode mixed",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar disorder in remission,NULL,35481005,Mixed bipolar I disorder in remission,C0520627,59198018,Mixed bipolar disorder in remission,2,296.65,Bipol I cur mix-part rem,F31.6,"Bipolar disorder, current episode depressed, severe, with psychotic features",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar I,NULL,16506000,Mixed bipolar I disorder,C0236780,27929014,Mixed bipolar I disorder,1,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar I condition,NULL,16506000,Mixed bipolar I disorder,C0236780,27929014,Mixed bipolar I disorder,1,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar I disease,NULL,16506000,Mixed bipolar I disorder,C0236780,27929014,Mixed bipolar I disorder,1,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar I disorder,NULL,16506000,Mixed bipolar I disorder,C0236780,27929014,Mixed bipolar I disorder,1,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mixed bipolar I disorder in full remission,NULL,111485001,Mixed bipolar I disorder in full remission,C0236786,178725011,Mixed bipolar I disorder in full remission,1,296.66,Bipol I cur mixed remiss,F31.78,"Bipolar disorder, in full remission, most recent episode mixed",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mixed bipolar I disorder in partial remission,NULL,36583000,Mixed bipolar I disorder in partial remission,C0236785,61058017,Mixed bipolar I disorder in partial remission,1,296.65,Bipol I cur mix-part rem,F31.77,"Bipolar disorder, in partial remission, most recent episode mixed",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mixed bipolar I disorder in remission,NULL,35481005,Mixed bipolar I disorder in remission,C0520627,59196019,Mixed bipolar I disorder in remission,1,296.65,Bipol I cur mix-part rem,F31.6,"Bipolar disorder, current episode depressed, severe, with psychotic features",Mental or Behavioral Dysfunction,N,NULL,PEPrL and Subset
Mixed bipolar I syndrome,NULL,16506000,Mixed bipolar I disorder,C0236780,27929014,Mixed bipolar I disorder,1,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed bipolar syndrome,NULL,16506000,Mixed bipolar I disorder,C0236780,27932012,"Mixed bipolar disorder, NOS",2,296.6,"Bipolar I disorder, most recent episode (or current) mixed, unspecified",F31.60,"Bipolar disorder, current episode mixed, unspecified",Mental or Behavioral Dysfunction,N,NULL,MTERMS
Mixed collagen vascular,264,398049005,Mixed collagen vascular disease,C0026272,1777619017,Mixed collagen vascular disease,1,710,Syst lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ or system involv unsp",Disease or Syndrome,N,NULL,MTERMS
Mixed collagen vascular disease,264,398049005,Mixed collagen vascular disease,C0026272,1777619017,Mixed collagen vascular disease,1,710,Syst lupus erythematosus,M32.10,"Systemic lupus erythematosus, organ or system involv unsp",Disease or Syndrome,N,NULL,PEPrL and Subset
Mixed conductive and sensorineural deafness,NULL,77507001,Mixed conductive AND sensorineural hearing loss,C0155552,1234118017,Mixed conductive and sensorineural deafness,2,389.2,"Mixed hearing loss, unspecified",H90.8,"Mixed conductive and sensorineural hearing loss, unspecified",Disease or Syndrome,N,NULL,MTERMS
Mixed conductive AND sensorineural hearing loss,NULL,77507001,Mixed conductive AND sensorineural hearing loss,C0155552,128669010,Mixed conductive AND sensorineural hearing loss,1,389.2,"Mixed hearing loss, unspecified",H90.8,"Mixed conductive and sensorineural hearing loss, unspecified",Disease or Syndrome,N,NULL,Subset
